All-Defensive Selections by Player | Basketball-Reference.com (fetched 2026-07-18)

| Rk | Player | Tot | 1st | 2nd | Tot | 1st | 2nd | Tot |
| 74 | Joakim Noah | 3 | 2 | 1 | 3 | 0 | 0 | 0 |
| 75 | Shaquille O'Neal | 3 | 0 | 3 | 3 | 0 | 0 | 0 |
| 76 | Paul Pressey | 3 | 2 | 1 | 3 | 0 | 0 | 0 |
| 77 | Marcus Smart | 3 | 3 | 0 | 3 | 0 | 0 | 0 |
| 78 | Brian Taylor | 3 | 0 | 1 | 1 | 2 | 0 | 2 |
| 79 | Dwyane Wade | 3 | 0 | 3 | 3 | 0 | 0 | 0 |
| 80 | Derrick White | 3 | 1 | 2 | 3 | 0 | 0 | 0 |
| 81 | OG Anunoby | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 82 | Shane Battier | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 83 | Raja Bell | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 84 | Chauncey Billups | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 85 | Eric Bledsoe | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 86 | Avery Bradley | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 87 | Jim Brewer | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 88 | Bill Bridges | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 89 | Joe Caldwell | 2 | 0 | 1 | 1 | 1 | 0 | 1 |
| 90 | Alex Caruso | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 91 | Wilt Chamberlain | 2 | 2 | 0 | 2 | 0 | 0 | 0 |
| 92 | E.C. Coleman | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 93 | Dyson Daniels | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 94 | Mike Gale | 2 | 0 | 0 | 0 | 2 | 0 | 2 |
| 95 | Derek Harper | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 96 | Elvin Hayes | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 97 | Lionel Hollins | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 98 | Andre Iguodala | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 99 | Eddie Johnson | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 100 | Gus Johnson | 2 | 2 | 0 | 2 | 0 | 0 | 0 |
| 101 | Caldwell Jones | 2 | 2 | 0 | 2 | 0 | 0 | 0 |
| 102 | DeAndre Jordan | 2 | 2 | 0 | 2 | 0 | 0 | 0 |
| 103 | Julius Keye | 2 | 0 | 0 | 0 | 2 | 0 | 2 |
| 104 | Brook Lopez | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 105 | Maurice Lucas | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 106 | Dan Majerle | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 107 | Moses Malone | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 108 | Rodney McCray | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 109 | Derrick McKey | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 110 | Nate McMillan | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 111 | Evan Mobley | 2 | 2 | 0 | 2 | 0 | 0 | 0 |
| 112 | Alonzo Mourning | 2 | 2 | 0 | 2 | 0 | 0 | 0 |
| 113 | Charles Oakley | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 114 | Theo Ratliff | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 115 | Michael Ray Richardson | 2 | 2 | 0 | 2 | 0 | 0 | 0 |
| 116 | Clifford Robinson | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 117 | Tree Rollins | 2 | 1 | 1 | 2 | 0 | 0 | 0 |
| 118 | Ben Simmons | 2 | 2 | 0 | 2 | 0 | 0 | 0 |
| 119 | Fatty Taylor | 2 | 0 | 0 | 0 | 2 | 0 | 2 |
| 120 | Matisse Thybulle | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 121 | Bill Walton | 2 | 2 | 0 | 2 | 0 | 0 | 0 |
| 122 | Kermit Washington | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 123 | Victor Wembanyama | 2 | 2 | 0 | 2 | 0 | 0 | 0 |
| 124 | Jamaal Wilkes | 2 | 0 | 2 | 2 | 0 | 0 | 0 |
| 125 | Willie Wise | 2 | 0 | 0 | 0 | 2 | 0 | 2 |
| 126 | Scottie Barnes | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 127 | Andrew Bogut | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 128 | Manute Bol | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 129 | Dudley Bradley | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 130 | Mikal Bridges | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 131 | Dillon Brooks | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 132 | Toumani Camara | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 133 | M.L. Carr | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 134 | Jim Cleamons | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 135 | Mike Conley | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 136 | Robert Covington | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 137 | Bob Dandridge | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 138 | Luol Deng | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 139 | Luguentz Dort | 1 | 1 | 0 | 1 | 0 | 0 | 0 |
| 140 | Julius Erving | 1 | 0 | 0 | 0 | 1 | 0 | 1 |
| 141 | Marc Gasol | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 142 | A.C. Green | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 143 | Danny Green | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
| 144 | Bob Gross | 1 | 0 | 1 | 1 | 0 | 0 | 0 |
