All-Star Game Selections by Player | Basketball-Reference.com

Find any player or team from any Reference site with our new cross-sport search engine. Only on Sports-Reference.com.

Awards Menu

# All-Star Game Selections by Player

## 538 Players

538 Players Table

| Rk | Player | Tot | NBA | ABA |
| 117 | Jermaine O'Neal | 6 | 6 | 0 |
| 118 | Tony Parker | 6 | 6 | 0 |
| 119 | Mitch Richmond | 6 | 6 | 0 |
| 120 | Amar'e Stoudemire | 6 | 6 | 0 |
| 121 | Jayson Tatum | 6 | 6 | 0 |
| 122 | Karl-Anthony Towns | 6 | 6 | 0 |
| 123 | Jack Twyman | 6 | 6 | 0 |
| 124 | George Yardley | 6 | 6 | 0 |
| 125 | Zelmo Beaty | 5 | 2 | 3 |
| 126 | Chauncey Billups | 5 | 5 | 0 |
| 127 | Devin Booker | 5 | 5 | 0 |
| 128 | Carl Braun | 5 | 5 | 0 |
| 129 | Jaylen Brown | 5 | 5 | 0 |
| 130 | Mack Calvin | 5 | 0 | 5 |
| 131 | Billy Cunningham | 5 | 4 | 1 |
| 132 | Brad Daugherty | 5 | 5 | 0 |
| 133 | Wayne Embry | 5 | 5 | 0 |
| 134 | Donnie Freeman | 5 | 0 | 5 |
| 135 | Tom Gola | 5 | 5 | 0 |
| 136 | Gail Goodrich | 5 | 5 | 0 |
| 137 | Tim Hardaway | 5 | 5 | 0 |
| 138 | Spencer Haywood | 5 | 4 | 1 |
| 139 | Al Horford | 5 | 5 | 0 |
| 140 | Dennis Johnson | 5 | 5 | 0 |
| 141 | Gus Johnson | 5 | 5 | 0 |
| 142 | Marques Johnson | 5 | 5 | 0 |
| 143 | Bobby Jones | 5 | 4 | 1 |
| 144 | Sam Jones | 5 | 5 | 0 |
| 145 | Larry Kenon | 5 | 2 | 3 |
| 146 | Rudy LaRusso | 5 | 5 | 0 |
| 147 | Kevin Love | 5 | 5 | 0 |
| 148 | Maurice Lucas | 5 | 4 | 1 |
| 149 | Pete Maravich | 5 | 5 | 0 |
| 150 | Bob McAdoo | 5 | 5 | 0 |
| 151 | Reggie Miller | 5 | 5 | 0 |
| 152 | Sidney Moncrief | 5 | 5 | 0 |
| 153 | Chris Mullin | 5 | 5 | 0 |
| 154 | Don Ohl | 5 | 5 | 0 |
| 155 | Andy Phillip | 5 | 5 | 0 |
| 156 | Charlie Scott | 5 | 3 | 2 |
| 157 | Gene Shue | 5 | 5 | 0 |
| 158 | Ralph Simpson | 5 | 0 | 5 |
| 159 | David Thompson | 5 | 4 | 1 |
| 160 | Klay Thompson | 5 | 5 | 0 |
| 161 | Rudy Tomjanovich | 5 | 5 | 0 |
| 162 | Wes Unseld | 5 | 5 | 0 |
| 163 | John Wall | 5 | 5 | 0 |
| 164 | Bobby Wanzer | 5 | 5 | 0 |
| 165 | Chris Webber | 5 | 5 | 0 |
| 166 | Paul Westphal | 5 | 5 | 0 |
| 167 | Vin Baker | 4 | 4 | 0 |
| 168 | Walt Bellamy | 4 | 4 | 0 |
| 169 | Otis Birdsong | 4 | 4 | 0 |
| 170 | Rolando Blackman | 4 | 4 | 0 |
| 171 | Ron Boone | 4 | 0 | 4 |
| 172 | Roger Brown | 4 | 0 | 4 |
| 173 | Joe Caldwell | 4 | 2 | 2 |
| 174 | Tom Chambers | 4 | 4 | 0 |
| 175 | Maurice Cheeks | 4 | 4 | 0 |
| 176 | Doug Collins | 4 | 4 | 0 |
