All-Star Game Selections by Player | Basketball-Reference.com

Find any player or team from any Reference site with our new cross-sport search engine. Only on Sports-Reference.com.

Awards Menu

# All-Star Game Selections by Player

## 538 Players

538 Players Table

| Rk | Player | Tot | NBA | ABA |
| 510 | Walt Simon | 1 | 0 | 1 |
| 511 | Adrian Smith | 1 | 1 | 0 |
| 512 | Steve Smith | 1 | 1 | 0 |
| 513 | Rik Smits | 1 | 1 | 0 |
| 514 | Willie Somerset | 1 | 0 | 1 |
| 515 | John Starks | 1 | 1 | 0 |
| 516 | Don Sunderlage | 1 | 1 | 0 |
| 517 | Wally Szczerbiak | 1 | 1 | 0 |
| 518 | Jeff Teague | 1 | 1 | 0 |
| 519 | Claude Terry | 1 | 0 | 1 |
| 520 | Skip Thoren | 1 | 0 | 1 |
| 521 | Otis Thorpe | 1 | 1 | 0 |
| 522 | Monte Towe | 1 | 0 | 1 |
| 523 | Dave Twardzik | 1 | 0 | 1 |
| 524 | Nick Van Exel | 1 | 1 | 0 |
| 525 | Fred VanVleet | 1 | 1 | 0 |
| 526 | Chico Vaughn | 1 | 0 | 1 |
| 527 | Gerald Wallace | 1 | 1 | 0 |
| 528 | Paul Walther | 1 | 1 | 0 |
| 529 | Ben Warley | 1 | 0 | 1 |
| 530 | Kermit Washington | 1 | 1 | 0 |
| 531 | Trooper Washington | 1 | 0 | 1 |
| 532 | Andrew Wiggins | 1 | 1 | 0 |
| 533 | Jalen Williams | 1 | 1 | 0 |
| 534 | Jayson Williams | 1 | 1 | 0 |
| 535 | Mo Williams | 1 | 1 | 0 |
| 536 | Kevin Willis | 1 | 1 | 0 |
| 537 | Metta World Peace | 1 | 1 | 0 |
| 538 | Max Zaslofsky | 1 | 1 | 0 |

## More Awards Pages

Awards Index

Season Awards

- Most Valuable Player (Michael Jordan Trophy)
- Rookie of the Year (Wilt Chamberlain Trophy)
- Defensive Player of the Year (Hakeem Olajuwon Trophy)
- Sixth Man of the Year (John Havlicek Trophy)
- Most Improved Player (George Mikan Trophy)
- Twyman-Stokes Teammate of the Year
- J. Walter Kennedy Citizenship Award
- NBA Finals Most Valuable Player (Bill Russell Trophy)
- Western Conference Finals MVP (Earvin "Magic" Johnson Trophy)
- Eastern Conference Finals MVP (Larry Bird Trophy)
- ABA Playoffs Most Valuable Player
- All-Star Game Most Valuable Player (Kobe Bryant Trophy)
- Comeback Player of the Year
- Sporting News Most Valuable Player
- Sporting News Rookie of the Year
- USBWA NBA MVP
- Sam Davis Memorial Award (NBA MVP)
- Hy Turkin Memorial Award (NBA Rookie of the Year)
- MBWA Outstanding ABA Player of the Year
- MBWA Outstanding ABA Rookie
- NBA Hustle Award
- NBA Social Justice Champion (Kareem Abdul-Jabbar Trophy)
- Sportsmanship Award (Joe Dumars Trophy)
- In-Season Tournament Most Valuable Player
- Clutch Player of the Year (Jerry West Trophy)
- Coach of the Year (Red Auerbach Trophy)
- NBCA Coach of the Year
- Executive of the Year
- Best Regular Season Record (Maurice Podoloff Trophy)

Hall of Fame

NBA Weekly & Monthly Awards

- Player of the Month
- Rookie of the Month
- Player of the Week
- Coach of the Month

NBA & ABA Season Honors

NBA & ABA Miscellaneous Honors

- NBA 75th Anniversary Team
- 15 Greatest Coaches in NBA History
- 50 Greatest Players in NBA History
- Top 10 Coaches in NBA History
- NBA 35th Anniversary All-Time Team
- NBA Silver Anniversary Team
- SLAM 500 Greatest NBA Players of All Time
- Bill Simmons Hall of Fame Pyramid
- ABA All-Time Team

NBA & ABA All-Star Game

- All-Star Game Selections by Player
- All-NBA and All-NBA Team Selections by Player
- All-Defensive Team Selections by Player

NCAA Season Awards

- AP Player of the Year Award
- John R. Wooden Award
- Naismith Men's College Player of the Year Award
- Final Four Most Outstanding Player

NCAA Season Honors

- AP All-America Teams

High School Season Honors

- Recruiting Services Consensus Index (RSCI) Rankings
- McDonald's High School Basketball All American Teams

Olympic Team Selections

- USA Olympic Basketball Team Rosters and Stats
